x,y,angle,class_id, octave,response,size
17,3,-1.000000000000000,-1,0,32,7
23,3,-1.000000000000000,-1,0,109,7
32,3,-1.000000000000000,-1,0,157,7
37,7,-1.000000000000000,-1,0,56,7
14,8,-1.000000000000000,-1,0,90,7
21,8,-1.000000000000000,-1,0,31,7
28,9,-1.000000000000000,-1,0,53,7
11,13,-1.000000000000000,-1,0,27,7
3,15,-1.000000000000000,-1,0,54,7
10,16,-1.000000000000000,-1,0,33,7
25,17,-1.000000000000000,-1,0,30,7
12,19,-1.000000000000000,-1,0,42,7
21,19,-1.000000000000000,-1,0,32,7
15,20,-1.000000000000000,-1,0,27,7
25,20,-1.000000000000000,-1,0,22,7
5,22,-1.000000000000000,-1,0,27,7
12,22,-1.000000000000000,-1,0,47,7
21,22,-1.000000000000000,-1,0,22,7
23,22,-1.000000000000000,-1,0,22,7
31,23,-1.000000000000000,-1,0,46,7
3,24,-1.000000000000000,-1,0,46,7
8,24,-1.000000000000000,-1,0,26,7
10,24,-1.000000000000000,-1,0,48,7
25,25,-1.000000000000000,-1,0,71,7
34,25,-1.000000000000000,-1,0,22,7
5,26,-1.000000000000000,-1,0,26,7
8,26,-1.000000000000000,-1,0,43,7
28,26,-1.000000000000000,-1,0,48,7
22,27,-1.000000000000000,-1,0,44,7
31,27,-1.000000000000000,-1,0,34,7
33,27,-1.000000000000000,-1,0,40,7
19,28,-1.000000000000000,-1,0,53,7
35,28,-1.000000000000000,-1,0,45,7
10,29,-1.000000000000000,-1,0,74,7
16,29,-1.000000000000000,-1,0,68,7
4,30,-1.000000000000000,-1,0,27,7
12,30,-1.000000000000000,-1,0,61,7
21,30,-1.000000000000000,-1,0,21,7
29,31,-1.000000000000000,-1,0,25,7
9,32,-1.000000000000000,-1,0,126,7
34,32,-1.000000000000000,-1,0,58,7
25,33,-1.000000000000000,-1,0,43,7
3,34,-1.000000000000000,-1,0,24,7
28,36,-1.000000000000000,-1,0,73,7
33,36,-1.000000000000000,-1,0,34,7
46,4,-1.000000000000000,-1,0,34,7
48,5,-1.000000000000000,-1,0,22,7
53,5,-1.000000000000000,-1,0,20,7
54,7,-1.000000000000000,-1,0,46,7
41,9,-1.000000000000000,-1,0,48,7
51,9,-1.000000000000000,-1,0,126,7
57,9,-1.000000000000000,-1,0,46,7
