x,y,angle,class_id, octave,response,size
5,3,-1.000000000000000,-1,0,33,7
28,3,-1.000000000000000,-1,0,30,7
14,4,-1.000000000000000,-1,0,20,7
19,4,-1.000000000000000,-1,0,52,7
23,4,-1.000000000000000,-1,0,38,7
31,5,-1.000000000000000,-1,0,30,7
22,6,-1.000000000000000,-1,0,27,7
15,7,-1.000000000000000,-1,0,22,7
5,8,-1.000000000000000,-1,0,41,7
9,8,-1.000000000000000,-1,0,38,7
12,8,-1.000000000000000,-1,0,23,7
18,9,-1.000000000000000,-1,0,36,7
32,9,-1.000000000000000,-1,0,48,7
14,12,-1.000000000000000,-1,0,32,7
8,13,-1.000000000000000,-1,0,47,7
29,13,-1.000000000000000,-1,0,41,7
6,14,-1.000000000000000,-1,0,47,7
30,15,-1.000000000000000,-1,0,35,7
3,16,-1.000000000000000,-1,0,57,7
23,17,-1.000000000000000,-1,0,32,7
29,19,-1.000000000000000,-1,0,60,7
33,19,-1.000000000000000,-1,0,30,7
3,21,-1.000000000000000,-1,0,34,7
13,21,-1.000000000000000,-1,0,25,7
21,21,-1.000000000000000,-1,0,49,7
31,21,-1.000000000000000,-1,0,38,7
33,23,-1.000000000000000,-1,0,26,7
24,24,-1.000000000000000,-1,0,43,7
33,26,-1.000000000000000,-1,0,35,7
5,28,-1.000000000000000,-1,0,23,7
33,28,-1.000000000000000,-1,0,24,7
10,30,-1.000000000000000,-1,0,41,7
19,31,-1.000000000000000,-1,0,22,7
22,31,-1.000000000000000,-1,0,25,7
33,31,-1.000000000000000,-1,0,34,7
5,33,-1.000000000000000,-1,0,23,7
24,33,-1.000000000000000,-1,0,31,7
32,33,-1.000000000000000,-1,0,68,7
48,3,-1.000000000000000,-1,0,28,7
53,3,-1.000000000000000,-1,0,31,7
64,3,-1.000000000000000,-1,0,50,7
38,4,-1.000000000000000,-1,0,45,7
40,4,-1.000000000000000,-1,0,47,7
46,4,-1.000000000000000,-1,0,41,7
60,4,-1.000000000000000,-1,0,23,7
53,5,-1.000000000000000,-1,0,40,7
63,6,-1.000000000000000,-1,0,29,7
36,10,-1.000000000000000,-1,0,47,7
35,12,-1.000000000000000,-1,0,38,7
64,12,-1.000000000000000,-1,0,29,7
36,15,-1.000000000000000,-1,0,36,7
45,16,-1.000000000000000,-1,0,21,7
