x,y,angle,class_id, octave,response,size
3,3,-1.000000000000000,-1,0,24,7
7,3,-1.000000000000000,-1,0,27,7
11,3,-1.000000000000000,-1,0,29,7
4,7,-1.000000000000000,-1,0,56,7
13,7,-1.000000000000000,-1,0,47,7
8,8,-1.000000000000000,-1,0,24,7
23,8,-1.000000000000000,-1,0,21,7
7,11,-1.000000000000000,-1,0,29,7
11,12,-1.000000000000000,-1,0,51,7
18,13,-1.000000000000000,-1,0,38,7
7,14,-1.000000000000000,-1,0,29,7
13,14,-1.000000000000000,-1,0,56,7
5,15,-1.000000000000000,-1,0,31,7
16,16,-1.000000000000000,-1,0,49,7
19,16,-1.000000000000000,-1,0,38,7
29,16,-1.000000000000000,-1,0,21,7
9,17,-1.000000000000000,-1,0,37,7
5,18,-1.000000000000000,-1,0,21,7
12,18,-1.000000000000000,-1,0,50,7
3,19,-1.000000000000000,-1,0,26,7
18,20,-1.000000000000000,-1,0,112,7
14,21,-1.000000000000000,-1,0,36,7
3,22,-1.000000000000000,-1,0,20,7
5,24,-1.000000000000000,-1,0,44,7
11,26,-1.000000000000000,-1,0,23,7
63,3,-1.000000000000000,-1,0,36,7
42,4,-1.000000000000000,-1,0,119,7
58,4,-1.000000000000000,-1,0,34,7
57,6,-1.000000000000000,-1,0,62,7
63,6,-1.000000000000000,-1,0,20,7
48,8,-1.000000000000000,-1,0,45,7
56,8,-1.000000000000000,-1,0,22,7
64,8,-1.000000000000000,-1,0,31,7
36,9,-1.000000000000000,-1,0,34,7
60,9,-1.000000000000000,-1,0,21,7
48,10,-1.000000000000000,-1,0,20,7
60,11,-1.000000000000000,-1,0,69,7
64,11,-1.000000000000000,-1,0,85,7
53,13,-1.000000000000000,-1,0,94,7
59,14,-1.000000000000000,-1,0,43,7
62,14,-1.000000000000000,-1,0,20,7
52,16,-1.000000000000000,-1,0,39,7
57,17,-1.000000000000000,-1,0,71,7
51,18,-1.000000000000000,-1,0,35,7
34,19,-1.000000000000000,-1,0,32,7
50,20,-1.000000000000000,-1,0,61,7
55,20,-1.000000000000000,-1,0,22,7
46,21,-1.000000000000000,-1,0,29,7
48,23,-1.000000000000000,-1,0,33,7
35,25,-1.000000000000000,-1,0,74,7
46,29,-1.000000000000000,-1,0,20,7
41,33,-1.000000000000000,-1,0,41,7
53,37,-1.000000000000000,-1,0,35,7
70,3,-1.000000000000000,-1,0,33,7
74,3,-1.000000000000000,-1,0,42,7
70,5,-1.000000000000000,-1,0,78,7
75,5,-1.000000000000000,-1,0,39,7
67,6,-1.000000000000000,-1,0,85,7
73,7,-1.000000000000000,-1,0,84,7
73,9,-1.000000000000000,-1,0,58,7
119,3,-1.000000000000000,-1,0,20,7
123,3,-1.000000000000000,-1,0,20,7
119,6,-1.000000000000000,-1,0,85,7
120,8,-1.000000000000000,-1,0,87,7
111,18,-1.000000000000000,-1,0,45,7
151,3,-1.000000000000000,-1,0,25,7
132,5,-1.000000000000000,-1,0,22,7
143,9,-1.000000000000000,-1,0,21,7
150,27,-1.000000000000000,-1,0,26,7
163,3,-1.000000000000000,-1,0,31,7
159,4,-1.000000000000000,-1,0,73,7
218,11,-1.000000000000000,-1,0,27,7
229,5,-1.000000000000000,-1,0,79,7
226,6,-1.000000000000000,-1,0,49,7
250,12,-1.000000000000000,-1,0,71,7
234,13,-1.000000000000000,-1,0,32,7
227,18,-1.000000000000000,-1,0,33,7
244,24,-1.000000000000000,-1,0,34,7
236,30,-1.000000000000000,-1,0,22,7
262,3,-1.000000000000000,-1,0,36,7
269,3,-1.000000000000000,-1,0,62,7
256,5,-1.000000000000000,-1,0,86,7
265,5,-1.000000000000000,-1,0,22,7
269,5,-1.000000000000000,-1,0,21,7
268,7,-1.000000000000000,-1,0,22,7
254,8,-1.000000000000000,-1,0,24,7
262,8,-1.000000000000000,-1,0,30,7
255,10,-1.000000000000000,-1,0,39,7
258,10,-1.000000000000000,-1,0,78,7
263,10,-1.000000000000000,-1,0,80,7
281,10,-1.000000000000000,-1,0,20,7
265,12,-1.000000000000000,-1,0,33,7
274,12,-1.000000000000000,-1,0,21,7
251,13,-1.000000000000000,-1,0,47,7
270,13,-1.000000000000000,-1,0,40,7
277,13,-1.000000000000000,-1,0,40,7
261,14,-1.000000000000000,-1,0,48,7
266,14,-1.000000000000000,-1,0,42,7
277,16,-1.000000000000000,-1,0,27,7
253,17,-1.000000000000000,-1,0,69,7
274,17,-1.000000000000000,-1,0,69,7
280,17,-1.000000000000000,-1,0,71,7
252,20,-1.000000000000000,-1,0,27,7
274,20,-1.000000000000000,-1,0,29,7
269,21,-1.000000000000000,-1,0,92,7
278,21,-1.000000000000000,-1,0,52,7
280,21,-1.000000000000000,-1,0,33,7
272,24,-1.000000000000000,-1,0,36,7
270,25,-1.000000000000000,-1,0,57,7
277,25,-1.000000000000000,-1,0,49,7
271,28,-1.000000000000000,-1,0,67,7
278,28,-1.000000000000000,-1,0,37,7
274,29,-1.000000000000000,-1,0,38,7
271,31,-1.000000000000000,-1,0,32,7
278,32,-1.000000000000000,-1,0,90,7
254,33,-1.000000000000000,-1,0,28,7
266,34,-1.000000000000000,-1,0,119,7
259,36,-1.000000000000000,-1,0,116,7
280,36,-1.000000000000000,-1,0,28,7
276,37,-1.000000000000000,-1,0,36,7
286,3,-1.000000000000000,-1,0,25,7
299,3,-1.000000000000000,-1,0,42,7
305,3,-1.000000000000000,-1,0,35,7
288,4,-1.000000000000000,-1,0,54,7
291,4,-1.000000000000000,-1,0,32,7
285,5,-1.000000000000000,-1,0,49,7
296,5,-1.000000000000000,-1,0,21,7
292,6,-1.000000000000000,-1,0,57,7
284,8,-1.000000000000000,-1,0,42,7
286,8,-1.000000000000000,-1,0,44,7
290,8,-1.000000000000000,-1,0,28,7
302,8,-1.000000000000000,-1,0,30,7
306,10,-1.000000000000000,-1,0,34,7
285,11,-1.000000000000000,-1,0,29,7
292,11,-1.000000000000000,-1,0,54,7
304,12,-1.000000000000000,-1,0,51,7
290,13,-1.000000000000000,-1,0,29,7
306,13,-1.000000000000000,-1,0,37,7
288,14,-1.000000000000000,-1,0,69,7
304,16,-1.000000000000000,-1,0,52,7
286,17,-1.000000000000000,-1,0,23,7
283,18,-1.000000000000000,-1,0,50,7
294,18,-1.000000000000000,-1,0,52,7
299,18,-1.000000000000000,-1,0,67,7
302,18,-1.000000000000000,-1,0,35,7
300,21,-1.000000000000000,-1,0,82,7
292,24,-1.000000000000000,-1,0,103,7
283,25,-1.000000000000000,-1,0,52,7
289,25,-1.000000000000000,-1,0,26,7
295,26,-1.000000000000000,-1,0,68,7
299,26,-1.000000000000000,-1,0,40,7
290,27,-1.000000000000000,-1,0,30,7
292,29,-1.000000000000000,-1,0,28,7
295,30,-1.000000000000000,-1,0,78,7
301,30,-1.000000000000000,-1,0,93,7
287,32,-1.000000000000000,-1,0,30,7
282,34,-1.000000000000000,-1,0,20,7
292,34,-1.000000000000000,-1,0,105,7
11,59,-1.000000000000000,-1,0,48,7
30,61,-1.000000000000000,-1,0,30,7
32,61,-1.000000000000000,-1,0,27,7
23,62,-1.000000000000000,-1,0,23,7
