x,y,angle,class_id, octave,response,size
9,3,-1.000000000000000,-1,0,44,7
19,3,-1.000000000000000,-1,0,23,7
3,4,-1.000000000000000,-1,0,46,7
13,4,-1.000000000000000,-1,0,110,7
30,4,-1.000000000000000,-1,0,32,7
16,7,-1.000000000000000,-1,0,25,7
9,8,-1.000000000000000,-1,0,37,7
14,8,-1.000000000000000,-1,0,34,7
3,10,-1.000000000000000,-1,0,23,7
19,10,-1.000000000000000,-1,0,23,7
27,12,-1.000000000000000,-1,0,28,7
32,12,-1.000000000000000,-1,0,47,7
17,13,-1.000000000000000,-1,0,40,7
30,14,-1.000000000000000,-1,0,22,7
14,18,-1.000000000000000,-1,0,24,7
19,18,-1.000000000000000,-1,0,27,7
24,19,-1.000000000000000,-1,0,25,7
17,20,-1.000000000000000,-1,0,32,7
19,21,-1.000000000000000,-1,0,23,7
23,21,-1.000000000000000,-1,0,22,7
4,22,-1.000000000000000,-1,0,27,7
12,22,-1.000000000000000,-1,0,71,7
10,24,-1.000000000000000,-1,0,21,7
19,26,-1.000000000000000,-1,0,47,7
18,28,-1.000000000000000,-1,0,39,7
24,29,-1.000000000000000,-1,0,42,7
17,30,-1.000000000000000,-1,0,21,7
32,30,-1.000000000000000,-1,0,20,7
27,31,-1.000000000000000,-1,0,24,7
4,33,-1.000000000000000,-1,0,35,7
13,33,-1.000000000000000,-1,0,23,7
38,3,-1.000000000000000,-1,0,42,7
36,5,-1.000000000000000,-1,0,42,7
39,5,-1.000000000000000,-1,0,30,7
42,6,-1.000000000000000,-1,0,20,7
56,6,-1.000000000000000,-1,0,24,7
39,9,-1.000000000000000,-1,0,51,7
45,9,-1.000000000000000,-1,0,24,7
42,10,-1.000000000000000,-1,0,54,7
33,12,-1.000000000000000,-1,0,62,7
39,12,-1.000000000000000,-1,0,23,7
48,12,-1.000000000000000,-1,0,38,7
42,13,-1.000000000000000,-1,0,24,7
50,13,-1.000000000000000,-1,0,43,7
62,13,-1.000000000000000,-1,0,43,7
39,15,-1.000000000000000,-1,0,38,7
51,15,-1.000000000000000,-1,0,29,7
33,16,-1.000000000000000,-1,0,20,7
36,17,-1.000000000000000,-1,0,21,7
47,19,-1.000000000000000,-1,0,21,7
35,21,-1.000000000000000,-1,0,27,7
41,21,-1.000000000000000,-1,0,22,7
53,21,-1.000000000000000,-1,0,40,7
59,21,-1.000000000000000,-1,0,56,7
61,22,-1.000000000000000,-1,0,50,7
37,23,-1.000000000000000,-1,0,37,7
47,23,-1.000000000000000,-1,0,22,7
44,24,-1.000000000000000,-1,0,21,7
57,25,-1.000000000000000,-1,0,68,7
50,26,-1.000000000000000,-1,0,33,7
52,27,-1.000000000000000,-1,0,25,7
58,28,-1.000000000000000,-1,0,47,7
52,29,-1.000000000000000,-1,0,35,7
51,31,-1.000000000000000,-1,0,22,7
58,32,-1.000000000000000,-1,0,47,7
43,33,-1.000000000000000,-1,0,37,7
77,3,-1.000000000000000,-1,0,23,7
80,3,-1.000000000000000,-1,0,32,7
91,4,-1.000000000000000,-1,0,27,7
87,7,-1.000000000000000,-1,0,30,7
74,10,-1.000000000000000,-1,0,39,7
77,11,-1.000000000000000,-1,0,49,7
82,11,-1.000000000000000,-1,0,20,7
63,13,-1.000000000000000,-1,0,36,7
66,13,-1.000000000000000,-1,0,45,7
73,13,-1.000000000000000,-1,0,48,7
84,14,-1.000000000000000,-1,0,62,7
69,16,-1.000000000000000,-1,0,25,7
73,30,-1.000000000000000,-1,0,22,7
110,3,-1.000000000000000,-1,0,23,7
103,4,-1.000000000000000,-1,0,55,7
99,5,-1.000000000000000,-1,0,38,7
121,5,-1.000000000000000,-1,0,43,7
102,7,-1.000000000000000,-1,0,20,7
122,8,-1.000000000000000,-1,0,20,7
103,9,-1.000000000000000,-1,0,37,7
113,10,-1.000000000000000,-1,0,29,7
122,11,-1.000000000000000,-1,0,25,7
100,12,-1.000000000000000,-1,0,34,7
108,12,-1.000000000000000,-1,0,28,7
120,13,-1.000000000000000,-1,0,22,7
109,14,-1.000000000000000,-1,0,42,7
112,15,-1.000000000000000,-1,0,29,7
115,15,-1.000000000000000,-1,0,58,7
100,16,-1.000000000000000,-1,0,27,7
107,16,-1.000000000000000,-1,0,54,7
110,16,-1.000000000000000,-1,0,46,7
121,16,-1.000000000000000,-1,0,33,7
120,18,-1.000000000000000,-1,0,35,7
105,19,-1.000000000000000,-1,0,52,7
112,20,-1.000000000000000,-1,0,21,7
121,20,-1.000000000000000,-1,0,24,7
106,21,-1.000000000000000,-1,0,26,7
118,21,-1.000000000000000,-1,0,20,7
108,22,-1.000000000000000,-1,0,33,7
113,22,-1.000000000000000,-1,0,29,7
118,23,-1.000000000000000,-1,0,45,7
101,24,-1.000000000000000,-1,0,65,7
114,24,-1.000000000000000,-1,0,23,7
120,24,-1.000000000000000,-1,0,41,7
108,25,-1.000000000000000,-1,0,29,7
116,25,-1.000000000000000,-1,0,30,7
116,27,-1.000000000000000,-1,0,27,7
112,28,-1.000000000000000,-1,0,50,7
93,31,-1.000000000000000,-1,0,23,7
120,31,-1.000000000000000,-1,0,29,7
128,3,-1.000000000000000,-1,0,36,7
132,3,-1.000000000000000,-1,0,41,7
151,3,-1.000000000000000,-1,0,37,7
137,5,-1.000000000000000,-1,0,57,7
144,5,-1.000000000000000,-1,0,61,7
148,5,-1.000000000000000,-1,0,64,7
127,6,-1.000000000000000,-1,0,45,7
129,6,-1.000000000000000,-1,0,30,7
141,6,-1.000000000000000,-1,0,49,7
137,8,-1.000000000000000,-1,0,32,7
148,8,-1.000000000000000,-1,0,58,7
123,9,-1.000000000000000,-1,0,31,7
130,9,-1.000000000000000,-1,0,65,7
143,9,-1.000000000000000,-1,0,82,7
146,9,-1.000000000000000,-1,0,40,7
152,9,-1.000000000000000,-1,0,25,7
152,11,-1.000000000000000,-1,0,26,7
125,12,-1.000000000000000,-1,0,52,7
135,12,-1.000000000000000,-1,0,46,7
147,12,-1.000000000000000,-1,0,41,7
132,13,-1.000000000000000,-1,0,44,7
142,14,-1.000000000000000,-1,0,35,7
152,14,-1.000000000000000,-1,0,83,7
132,16,-1.000000000000000,-1,0,26,7
146,16,-1.000000000000000,-1,0,39,7
149,16,-1.000000000000000,-1,0,44,7
127,17,-1.000000000000000,-1,0,20,7
140,17,-1.000000000000000,-1,0,46,7
144,18,-1.000000000000000,-1,0,71,7
133,19,-1.000000000000000,-1,0,77,7
