x,y,angle,class_id, octave,response,size
20,4,-1.000000000000000,-1,0,8,7
13,8,-1.000000000000000,-1,0,7,7
11,27,-1.000000000000000,-1,0,8,7
146,8,-1.000000000000000,-1,0,7,7
135,21,-1.000000000000000,-1,0,10,7
160,15,-1.000000000000000,-1,0,7,7
212,13,-1.000000000000000,-1,0,7,7
207,23,-1.000000000000000,-1,0,7,7
219,14,-1.000000000000000,-1,0,7,7
252,4,-1.000000000000000,-1,0,7,7
282,3,-1.000000000000000,-1,0,13,7
285,3,-1.000000000000000,-1,0,7,7
291,5,-1.000000000000000,-1,0,7,7
296,5,-1.000000000000000,-1,0,10,7
281,7,-1.000000000000000,-1,0,12,7
293,7,-1.000000000000000,-1,0,7,7
289,8,-1.000000000000000,-1,0,9,7
278,10,-1.000000000000000,-1,0,11,7
299,10,-1.000000000000000,-1,0,7,7
277,12,-1.000000000000000,-1,0,9,7
290,12,-1.000000000000000,-1,0,11,7
291,19,-1.000000000000000,-1,0,7,7
302,20,-1.000000000000000,-1,0,7,7
280,21,-1.000000000000000,-1,0,7,7
287,21,-1.000000000000000,-1,0,9,7
274,22,-1.000000000000000,-1,0,11,7
292,22,-1.000000000000000,-1,0,10,7
284,23,-1.000000000000000,-1,0,10,7
283,26,-1.000000000000000,-1,0,7,7
302,26,-1.000000000000000,-1,0,9,7
279,27,-1.000000000000000,-1,0,11,7
276,29,-1.000000000000000,-1,0,7,7
284,31,-1.000000000000000,-1,0,7,7
279,33,-1.000000000000000,-1,0,14,7
302,33,-1.000000000000000,-1,0,7,7
316,3,-1.000000000000000,-1,0,7,7
307,6,-1.000000000000000,-1,0,8,7
310,13,-1.000000000000000,-1,0,9,7
315,13,-1.000000000000000,-1,0,10,7
329,16,-1.000000000000000,-1,0,7,7
321,22,-1.000000000000000,-1,0,7,7
304,26,-1.000000000000000,-1,0,7,7
313,28,-1.000000000000000,-1,0,7,7
318,28,-1.000000000000000,-1,0,7,7
311,33,-1.000000000000000,-1,0,12,7
334,16,-1.000000000000000,-1,0,7,7
351,19,-1.000000000000000,-1,0,7,7
345,24,-1.000000000000000,-1,0,7,7
349,24,-1.000000000000000,-1,0,8,7
342,25,-1.000000000000000,-1,0,7,7
335,30,-1.000000000000000,-1,0,7,7
338,32,-1.000000000000000,-1,0,7,7
383,6,-1.000000000000000,-1,0,7,7
386,8,-1.000000000000000,-1,0,10,7
388,13,-1.000000000000000,-1,0,11,7
364,33,-1.000000000000000,-1,0,7,7
500,12,-1.000000000000000,-1,0,11,7
505,18,-1.000000000000000,-1,0,7,7
